track_id,track_name,track_popularity,duration_ms,artist_names,artist_ids,album_id,album_name,album_release_date,album_total_tracks
78VG6M1i7JQXBdygmWFwye,Everybody Loves Somebody,51,161640,Dean Martin,49e4v89VmlDcFCMyDv9wQ9,6anBFHbt3PaNwDKWbsVkzG,The Reprise Years,2013-11-19,40
69RH84na5iUNwrwxpgjC5j,Where Did Our Love Go,63,153333,The Supremes,57bUPid8xztkieZfS7OlEV,05pI1Rx1HQ4KA0a0e3PJlV,Where Did Our Love Go,1964-08-31,12
7BY005dacJkbO6EPiOh2wb,House Of The Rising Sun,73,271280,The Animals,3ICflSq6ZgYAIrm2CTkfVP,0Xwkx2TLFwRcoK0OWQ0Msa,The Animals,1964-01-01,13
52HAHV1j93s5B8GoTNI7DJ,"Oh, Pretty Woman",66,176933,Roy Orbison,0JDkhL4rjiPNEp92jAgJnS,48CvRZSBT0FbOHKLFfHy0n,The Essential Roy Orbison,2006-03-28,40
4txX3DaSQbCDOI7ZYG7UTn,Do Wah Diddy Diddy,0,143506,Manfred Mann,5670CyWrIOA7702gNjsGMZ,2LcMAPnYeNwbrkAIwvUeZ5,6 x 6 - The Sixties,2011-02-21,120
5uES1C2NgkdrNHiCwf9jRr,Baby Love,66,158040,The Supremes,57bUPid8xztkieZfS7OlEV,05pI1Rx1HQ4KA0a0e3PJlV,Where Did Our Love Go,1964-08-31,12
6wzLLGFlWQ5jqTL13MU069,Leader Of The Pack,44,173533,The Shangri-Las,1WvziZcLLYLoMMdmQx7qcN,58tVdRacBIEFx7vOK6HDdb,Leader Of The Pack,1998-01-01,11
5GHbWzjRy1XfnTf5rkA8bf,Ringo,43,214213,Lorne Greene,7CHyTolf8RTuUaW4yYV52d,5aucUihOucqNfx4dUXOLHS,Welcome to the Ponderosa,1964-11-04,10
5KG2ahk1cONbHvg3dBdTbx,Mr. Lonely,54,161373,Bobby Vinton,6bOYtKnpLPQSfMpS2ilotK,4qK4QZUSp8QdoMEm9mrzyA,The Best Of Bobby Vinton,2004-06-22,14
307kcWJQNMdiYYKj1LgClU,Come See About Me,57,163093,The Supremes,57bUPid8xztkieZfS7OlEV,05pI1Rx1HQ4KA0a0e3PJlV,Where Did Our Love Go,1964-08-31,12
