track_id,track_name,artist_names,album_id,album_name,album_release_date,release_year,artist_ids,duration_ms,album_total_tracks,track_popularity,genre
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,5JjnoGJyOxfSZUZtk2rRwZ,Not Like Us,2024-05-04 00:00:00+00:00,2024.0,2YZyLoL8N0Wb9xBt1NhZWg,274192,1,87,hip hop; west coast hip hop
2tpWsVSb9UEmDRxAl1zhX1,Counting Stars,Onerepublic,20lOt6G8MHv8ZO7ViOmiP7,Native,2013-01-01 00:00:00+00:00,2013.0,5Pwc4xIPtQLFEnJriah9YJ,257265,12,87,soft pop
59D4DOkspUbWyMmbAPQkxZ,VOY A LLeVARTE PA PR,Bad Bunny,5K79FLRUCSysQnVESLcTdb,DeBÍ TiRAR MáS FOToS,2025-01-05 00:00:00+00:00,2025.0,4q3ewBCX7sLwd24euuV69X,156364,17,87,latin; reggaeton; trap latino; urbano latino
04emojnbYkrRmv5qtJcgVP,What I Want (feat. Tate McRae),Morgan Wallen; Tate Mcrae,5IZ8sY5FjtL9hloXpv0XbD,I’m The Problem,2025-05-16 00:00:00+00:00,2025.0,4oUHIQIBe0LHzYfvXNW4QM; 45dkTj5sMRSjrmBSBeiHym,184517,37,87,country
4QNpBfC0zvjKqPJcyqBy9W,Give Me Everything (feat. Nayer),Pitbull; Afrojack; Ne-Yo; Nayer,4rG0MhkU6UojACJxkMHIXB,Planet Pit (Deluxe Version),2011-06-17 00:00:00+00:00,2011.0,0TnOYISbd1XYRBk9myaseg; 4D75GcNG95ebPtNvoNVXhz; 21E3waRsmPlU7jZsS13rcj; 1ruutHJcECI7cos2n5TqpO,252306,16,87,big room; edm
29iva9idM6rFCPUlu7Rhxl,YUKON,Justin Bieber,5vD5M5VW62LL78Ko8x0CVZ,SWAG,2025-07-11 00:00:00+00:00,2025.0,1uNFoZAHBGtllmzznpCI3s,163866,21,87,
5G2f63n7IPVPPjfNIGih7Q,Taste,Sabrina Carpenter,3iPSVi54hsacKKl1xIR2eH,Short n' Sweet,2024-08-23 00:00:00+00:00,2024.0,74KM79TiuVKeVCqs8QtB0B,157279,12,86,pop
6MrLkXsMmHaYt680fhJUAq,12 to 12,Sombr,2TrTb21wiXbwQohvN1UfFV,12 to 12,2025-07-24 00:00:00+00:00,2025.0,4G9NDjRyZFDlJKMRL8hx3S,242903,1,86,
2374M0fQpWi3dLnB54qaLX,Africa,Toto,62U7xIHcID94o20Of5ea4D,Toto IV,1982-04-08 00:00:00+00:00,1982.0,0PFtn5NtBbbUNbU9EAmIWF,295893,10,86,soft rock; yacht rock
709ZIqPHyFOpx2QdjmeWAM,Dracula,Tame Impala,2kCjkEVRnLdEV5UOaQSAG4,Dracula,2025-09-26 00:00:00+00:00,2025.0,5INjqkS1o8h1imAzPqGZBb,205308,3,86,indie; neo-psychedelic
7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers; Halsey,0rSLgV8p5FzfnqlEk4GzxE,Closer,2016-07-29 00:00:00+00:00,2016.0,69GGBxA162lTqCwzJG5jLp; 26VFTg2z8YR0cCuwLzESi2,244960,1,86,
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,A-Ha,1ER3B6zev5JEAaqhnyyfbf,Hunting High and Low,1985-06-01 00:00:00+00:00,1985.0,2jzc5TC5TVFLXQlBNiIUzE,225280,10,86,new wave; synthpop
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,Sza,07w0rG5TETcyihsEIZR3qG,SOS,2022-12-09 00:00:00+00:00,2022.0,7tYKF4w9nC0nq9CsPZTHyP,201800,23,86,r&b
4AajxCEwGEsmHmT4H1TwjY,undressed,Sombr,19m6pwPmwNFSPV7wtHtg7D,undressed,2025-03-21 00:00:00+00:00,2025.0,4G9NDjRyZFDlJKMRL8hx3S,182088,1,86,
0O45fw2L5vsWpdsOdXwNAR,SexyBack (feat. Timbaland),Justin Timberlake; Timbaland,2scB1uhcCI1TSf6b9TCZK3,FutureSex/LoveSounds,2006-09-12 00:00:00+00:00,2006.0,31TPClRtHm23RisEBtV3X7; 5Y5TRrQiqgUO4S36tzjIRZ,242733,12,85,
3NFs3XUduzBfvc5Bx1gmzh,The Dead Dance,Lady Gaga,1KdrtZn2AmuQPHKIr3h4e6,The Dead Dance,2025-09-03 00:00:00+00:00,2025.0,1HY2Jd0NmPuamShAr6KMms,228518,1,85,art pop; pop
